cfbd_name,steel_name
App State,Appalachian St
Appalachian State,Appalachian St
Arizona State,Arizona St
Arkansas State,Arkansas St
Ball State,Ball St
Boise State,Boise St
Central Michigan,Central Michigan
Colorado State,Colorado St
East Carolina,East Carolina
Eastern Michigan,Eastern Michigan
Florida Atlantic,FAU
FAU,FAU
Florida International,FIU
FIU,FIU
Florida State,Florida St
Fresno State,Fresno St
Georgia Southern,Georgia Southern
Georgia State,Georgia St
Georgia Tech,Georgia Tech
Hawaii,Hawaii
"Hawai'i",Hawaii
Iowa State,Iowa St
Jacksonville State,Jacksonville St
James Madison,James Madison
Kansas State,Kansas St
Kennesaw State,Kennesaw St
Kent State,Kent St
Louisiana,Louisiana
Louisiana Monroe,ULM
UL Monroe,ULM
Louisiana Tech,Louisiana Tech
Marshall,Marshall
Massachusetts,UMass
Miami,"Miami, Fl"
"Miami (FL)","Miami, Fl"
"Miami (OH)","Miami (OH)"
Michigan State,Michigan St
Middle Tennessee,Middle Tenn
Mississippi State,Mississippi St
Missouri State,Missouri St
NC State,NC State
Nevada,Nevada
New Mexico State,New Mexico St
North Carolina,North Carolina
North Carolina State,NC State
Northern Illinois,Northern Illinois
Ohio State,Ohio St
Oklahoma State,Oklahoma St
Ole Miss,Mississippi
Oregon State,Oregon St
Penn State,Penn St
Sam Houston,Sam Houston St
Sam Houston State,Sam Houston St
San Diego State,San Diego St
San Jose State,San Jose St
"San José State",San Jose St
South Alabama,South Alabama
South Carolina,South Carolina
South Florida,USF
Southern Miss,Southern Miss
Southern Mississippi,Southern Miss
Texas State,Texas St
Texas Tech,Texas Tech
UConn,Connecticut
Utah State,Utah St
Virginia Tech,Virginia Tech
Washington State,Washington St
Western Kentucky,WKU
Western Michigan,Western Michigan
Wyoming,Wyoming
